# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 344591200.00000000 72364.14843750
0.00100000 344421696.00000000 113659.16406250
0.00200000 343911104.00000000 170236.00000000
0.00300000 343060800.00000000 247003.78125000
0.00400000 341879744.00000000 307691.78125000
0.00500000 340362880.00000000 367591.93750000
0.00600000 338517920.00000000 355443.81250000
0.00700000 336351424.00000000 403621.71875000
0.00800000 333879872.00000000 540885.43750000
0.00900000 331089440.00000000 645624.43750000
0.01000000 328000608.00000000 649441.25000000
0.01100000 324618592.00000000 642744.87500000
0.01200000 320959328.00000000 938806.06250000
0.01300000 317030112.00000000 998644.87500000
0.01400000 312842752.00000000 915065.06250000
0.01500000 308410720.00000000 1036260.06250000
0.01600000 303739360.00000000 851988.93750000
0.01700000 298848448.00000000 887579.93750000
0.01800000 293750976.00000000 1004628.37500000
0.01900000 288461984.00000000 865386.00000000
0.02000000 283000768.00000000 1604614.50000000
0.02100000 277374432.00000000 1281470.00000000
0.02200000 271595648.00000000 937005.06250000
0.02300000 265676656.00000000 1243366.87500000
0.02400000 259648800.00000000 1265787.87500000
0.02500000 253512320.00000000 1384177.25000000
0.02600000 247291104.00000000 1402140.62500000
0.02700000 241000416.00000000 1315862.25000000
0.02800000 234654064.00000000 1122819.75000000
0.02900000 228264752.00000000 1232629.75000000
0.03000000 221841168.00000000 1134717.62500000
0.03100000 215410256.00000000 1447557.00000000
0.03200000 208978208.00000000 1137886.37500000
0.03300000 202562976.00000000 1136378.25000000
0.03400000 196175632.00000000 1029922.12500000
0.03500000 189826144.00000000 1025061.18750000
0.03600000 183531840.00000000 1120462.00000000
0.03700000 177297344.00000000 1111654.37500000
0.03800000 171138288.00000000 1201390.87500000
0.03900000 165062864.00000000 1188452.62500000
0.04000000 159081200.00000000 1565359.12500000
0.04100000 153204704.00000000 1158227.62500000
0.04200000 147437616.00000000 950972.68750000
0.04300000 141791680.00000000 935825.12500000
0.04400000 136269344.00000000 1103781.75000000
0.04500000 130878480.00000000 1173980.00000000
0.04600000 125625888.00000000 1328493.87500000
0.04700000 120514712.00000000 1128017.75000000
0.04800000 115549592.00000000 1019147.43750000
0.04900000 110732776.00000000 830495.87500000
0.05000000 106067888.00000000 1217129.00000000
0.05100000 101556664.00000000 1425855.62500000
0.05200000 97199264.00000000 772734.18750000
0.05300000 92999176.00000000 753293.37500000
0.05400000 88952984.00000000 807248.37500000
0.05500000 85061864.00000000 1000327.56250000
0.05600000 81324352.00000000 764855.56250000
0.05700000 77739680.00000000 811602.31250000
0.05800000 74304488.00000000 986392.12500000
0.05900000 71018032.00000000 766994.81250000
0.06000000 67876008.00000000 745278.62500000
0.06100000 64874044.00000000 904993.00000000
0.06200000 62011496.00000000 937613.87500000
0.06300000 59283312.00000000 569119.81250000
0.06400000 56685352.00000000 552682.18750000
0.06500001 54213276.00000000 697724.93750000
0.06600000 51861420.00000000 573328.00000000
0.06700000 49626220.00000000 607424.93750000
0.06800000 47503116.00000000 639154.43750000
0.06900001 45486052.00000000 859686.43750000
0.07000000 43571160.00000000 510436.15625000
0.07100000 41752048.00000000 496014.34375000
0.07200000 40025396.00000000 438278.12500000
0.07300001 38385144.00000000 553897.68750000
0.07400000 36826680.00000000 662880.25000000
0.07500000 35345324.00000000 644698.75000000
0.07600001 33936540.00000000 509557.18750000
0.07700001 32595360.00000000 648321.75000000
0.07800000 31317226.00000000 408220.06250000
0.07900000 30098638.00000000 397302.03125000
0.08000001 28935452.00000000 386722.34375000
0.08100000 27823400.00000000 513341.71875000
0.08200000 26758888.00000000 399777.81250000
0.08300000 25738358.00000000 616176.31250000
0.08400001 24759078.00000000 378813.90625000
0.08500000 23817768.00000000 307249.21875000
0.08600000 22911598.00000000 418594.90625000
0.08700000 22037564.00000000 319985.43750000
0.08800001 21193978.00000000 282939.62500000
0.08900000 20378458.00000000 330131.03125000
0.09000000 19589214.00000000 401089.18750000
0.09100001 18824144.00000000 259773.20312500
0.09200001 18082154.00000000 302695.28125000
0.09300000 17361954.00000000 293764.28125000
